#redshift                   distance_modulus
1.400000000000000029e-02	1.457001926000000047e+01
1.940000000000000058e-02	1.522796035070000009e+01
2.639999999999999986e-02	1.593410231700000068e+01
3.289999999999999869e-02	1.642178295580000125e+01
3.960000000000000325e-02	1.683641895599999927e+01
4.750000000000000056e-02	1.723464399059999863e+01
5.600000000000000117e-02	1.757584596219999895e+01
6.400000000000000133e-02	1.791045435010000020e+01
7.209999999999999742e-02	1.817800745890000158e+01
8.110000000000000542e-02	1.855438557640000141e+01
8.890000000000000679e-02	1.870065540370000079e+01
1.000999999999999945e-01	1.903882424280000052e+01
1.071000000000000008e-01	1.917201853530000122e+01
1.194999999999999951e-01	1.937112951519999982e+01
1.277999999999999969e-01	1.955550262379999893e+01
1.396000000000000019e-01	1.981859307659999914e+01
1.519000000000000072e-01	1.994450251960000031e+01
1.635000000000000064e-01	2.006425376019999973e+01
1.778000000000000136e-01	2.033890089229999987e+01
1.905999999999999917e-01	2.050474561369999904e+01
2.066999999999999948e-01	2.068540079950000177e+01
2.215999999999999914e-01	2.086103225069999922e+01
2.404999999999999916e-01	2.105184400510000131e+01
2.558000000000000274e-01	2.120379307190000162e+01
2.762000000000000011e-01	2.136361377660000116e+01
2.972000000000000197e-01	2.157900143339999843e+01
3.215000000000000080e-01	2.181327727900000113e+01
3.452999999999999958e-01	2.196657510240000022e+01
3.708000000000000185e-01	2.214289400559999876e+01
4.048999999999999821e-01	2.237991924079999961e+01
4.354999999999999982e-01	2.255792725259999898e+01
4.737999999999999989e-01	2.279737664199999969e+01
5.173999999999999710e-01	2.300115944479999897e+01
5.742000000000000437e-01	2.330043450260000171e+01
6.299000000000000155e-01	2.350362803240000176e+01
7.239999999999999769e-01	2.386662930390000170e+01
8.209999999999999520e-01	2.424455197949999885e+01
9.510999999999999455e-01	2.464113237069999940e+01
1.233600000000000030e+00	2.530399401909999924e+01
1.612300000000000066e+00	2.592597291070000054e+01
